,County_Name,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
1104,"Milwaukee County, Wisconsin",42.0,41.0,43.0
1105,"Oneida County, Wisconsin",,,36.0
1106,"Outagamie County, Wisconsin",36.0,38.0,38.0
1107,"Ozaukee County, Wisconsin",37.0,36.0,40.0
1108,"Racine County, Wisconsin",39.0,39.0,42.0
1109,"Rock County, Wisconsin",38.0,41.0,41.0
1110,"Sauk County, Wisconsin",35.0,36.0,38.0
1111,"Sheboygan County, Wisconsin",38.0,40.0,41.0
1112,"St. Croix County, Wisconsin",,,40.0
1113,"Taylor County, Wisconsin",35.0,34.0,36.0
1114,"Vernon County, Wisconsin",,,39.0
1115,"Vilas County, Wisconsin",29.0,33.0,36.0
1116,"Walworth County, Wisconsin",37.0,40.0,41.0
1117,"Washington County, Wisconsin",,,39.0
1118,"Waukesha County, Wisconsin",40.0,40.0,39.0
1119,"Winnebago County, Wisconsin",,,
1120,"Wood County, Wisconsin",,,
1121,"Albany County, Wyoming",47.0,45.0,48.0
1122,"Campbell County, Wyoming",40.0,44.0,45.0
1123,"Carbon County, Wyoming",43.0,42.0,45.0
1124,"Converse County, Wyoming",41.0,43.0,23.0
1125,"Fremont County, Wyoming",45.0,45.0,48.0
1126,"Johnson County, Wyoming",40.0,6.0,6.0
1127,"Laramie County, Wyoming",43.0,42.0,19.0
1128,"Lincoln County, Wyoming",12.0,13.0,17.0
1129,"Natrona County, Wyoming",42.0,41.0,17.0
1130,"Park County, Wyoming",38.0,15.0,16.0
1131,"Platte County, Wyoming",14.0,14.0,12.0
1132,"Sheridan County, Wyoming",39.0,38.0,21.0
1133,"Sublette County, Wyoming",46.0,44.0,47.0
1134,"Sweetwater County, Wyoming",46.0,44.0,45.0
1135,"Teton County, Wyoming",43.0,42.0,44.0
