,State,County,2022_Median_AQI,2021_Median_AQI,2020_Median_AQI,2019_Median_AQI,2018_Median_AQI,2017_Median_AQI,2016_Median_AQI,2015_Median_AQI,2014_Median_AQI,2013_Median_AQI,2012_Median_AQI,2011_Median_AQI,2010_Median_AQI,2009_Median_AQI,2008_Median_AQI,2007_Median_AQI,2006_Median_AQI,2005_Median_AQI,2004_Median_AQI,2003_Median_AQI,2002_Median_AQI,2001_Median_AQI,2000_Median_AQI,1999_Median_AQI,1998_Median_AQI,1997_Median_AQI,1996_Median_AQI,1995_Median_AQI,1994_Median_AQI,1993_Median_AQI,1992_Median_AQI,1991_Median_AQI,1990_Median_AQI,1989_Median_AQI,1988_Median_AQI,1987_Median_AQI,1986_Median_AQI,1985_Median_AQI,1984_Median_AQI,1983_Median_AQI,1982_Median_AQI,1981_Median_AQI,1980_Median_AQI
270,Illinois,La Salle,,,,,,,,,,,,,35.0,38.0,39.0,47.0,25.0,28.0,25.0,24,27.0,24.0,25.0,21.0,22.0,20.0,22.0,23.0,27.0,21.0,28.0,28.0,36.0,42.0,39.0,32.0,33.0,,,38.0,31.0,31.0,29.0
271,Illinois,Lake,41.0,42.0,39.0,40.0,35.0,35.0,34.0,35.0,35.0,34.0,34.0,34.0,37.0,34.0,34.0,35.0,31.0,35.0,31.0,33,36.0,35.0,35.0,34.0,33.0,31.0,31.0,32.0,31.0,30.0,29.0,31.0,29.0,31.0,31.0,31.0,31.0,32.0,31.0,28.0,29.0,29.0,29.0
272,Illinois,Macon,41.0,43.0,40.0,43.0,44.0,43.0,40.0,40.0,41.0,41.0,45.0,48.0,46.0,45.0,42.0,50.0,37.0,38.0,34.0,38,39.0,39.0,40.0,37.0,34.0,32.0,34.0,31.0,33.0,30.0,34.0,34.0,36.0,37.0,35.0,34.0,37.0,35.0,33.0,35.0,27.0,31.0,37.0
273,Illinois,Macoupin,36.0,31.0,31.0,33.0,36.0,40.0,39.0,38.0,38.0,39.0,36.0,38.0,37.0,34.0,33.0,34.0,34.0,37.0,34.0,36,34.0,37.0,38.0,38.0,36.0,36.0,36.0,33.0,34.0,33.0,33.0,34.0,34.0,37.0,41.0,38.0,36.0,39.0,35.0,33.0,33.0,38.0,34.0
274,Illinois,Madison,47.0,51.0,47.0,49.0,46.0,46.0,44.0,44.0,47.0,50.0,53.0,52.0,60.0,53.0,48.0,49.0,51.0,54.0,49.0,53,58.0,58.0,54.0,49.0,46.0,44.0,44.0,46.0,46.0,40.0,41.0,41.0,43.0,54.0,52.0,52.0,51.0,42.0,45.0,45.0,45.0,43.0,46.0
275,Illinois,McHenry,40.0,42.0,40.0,44.0,42.0,40.0,37.0,43.0,37.0,38.0,43.0,45.0,41.0,43.0,40.0,45.0,32.0,38.0,33.0,33,35.0,37.0,34.0,33.0,31.0,31.0,31.0,31.0,32.0,33.0,31.0,31.0,30.0,32.0,31.0,29.0,30.0,30.0,28.0,30.0,31.0,30.0,32.0
276,Illinois,McLean,42.0,41.0,41.0,44.0,44.0,41.0,38.0,37.0,36.0,37.0,38.0,34.0,40.0,37.0,38.0,39.0,35.0,39.0,36.0,36,35.0,42.0,52.0,,,,,,,,,,,,,,,,,,,,
277,Illinois,Peoria,42.0,43.0,40.0,41.0,43.0,44.0,41.0,42.0,41.0,44.0,48.0,49.0,51.0,44.0,46.0,52.0,37.0,42.0,36.0,39,39.0,39.0,39.0,40.0,39.0,38.0,36.0,40.0,40.0,39.0,44.0,43.0,38.0,38.0,40.0,44.0,33.0,34.0,38.0,37.0,39.0,38.0,31.0
278,Illinois,Randolph,42.0,40.0,38.0,40.0,41.0,44.0,39.0,39.0,44.0,38.0,38.0,36.0,36.0,33.0,37.0,40.0,38.0,41.0,38.0,39,36.0,36.0,40.0,40.0,38.0,36.0,36.0,40.0,40.0,33.0,39.0,36.0,35.0,33.0,,,,,,,,,
279,Illinois,Rock Island,40.0,43.0,38.0,42.0,40.0,40.0,33.0,36.0,34.0,32.0,31.0,31.0,32.0,29.0,34.0,35.0,34.0,34.0,31.0,33,35.0,36.0,33.0,36.0,29.0,30.0,30.0,30.0,31.0,27.0,27.0,31.0,32.0,34.0,36.0,31.0,33.0,33.0,34.0,36.0,36.0,37.0,35.0
