,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2015,2015_Median_AQI
121,"72,424",676,"6,888","4,045",897,"7,762","4,138","1,567","5,580","7,736","13,485","7,478","6,037","6,135",11.90%,38.0
122,"158,795",474,"11,034","11,032","3,437","19,240","5,420","2,413","13,765","22,405","36,476","19,716","8,764","4,619",16.20%,40.0
123,"218,095",462,"11,998","11,372","4,983","25,440","9,627","6,168","23,973","35,009","50,940","22,838","8,850","6,435",12.90%,34.0
124,"209,562","1,302","16,068","13,143","4,513","27,721","10,894","4,458","15,112","23,894","44,849","26,223","12,250","9,135",19.20%,36.0
125,"61,564",366,"2,836","5,522","1,066","7,340","3,297",967,"5,069","5,811","18,177","5,515","2,478","3,120",14.10%,41.0
126,"133,525",426,"7,380","10,747","2,255","18,706","9,600","1,658","7,161","13,712","31,423","16,639","7,171","6,647",14.40%,36.0
128,"121,425",559,"8,487","8,900","4,146","14,836","15,766","1,989","4,983","11,933","24,263","12,552","6,540","6,471",23.80%,39.0
129,"383,927",734,"29,860","27,833","13,086","44,136","19,414","15,441","32,199","60,364","75,320","32,562","19,897","13,081",11.40%,42.0
131,"368,437",299,"17,516","21,144","7,784","39,635","24,691","14,897","24,590","58,068","84,330","38,742","17,409","19,332",12.50%,50.0
133,"65,067",810,"4,940","5,776","2,077","8,329","6,032","1,975","2,697","7,040","13,673","5,553","2,920","3,245",14.40%,37.0
136,"508,206","1,611","17,721","30,926","14,044","50,661","31,144","19,433","45,037","96,298","99,002","56,755","24,200","21,374",14.30%,49.0
138,"438,765",393,"41,754","38,076","17,301","58,184","20,572","13,288","32,442","61,770","72,623","42,163","27,265","12,934",13.50%,40.0
139,"86,852","1,731","6,573","18,044","4,188","10,186","4,948","1,048","4,436","7,087","15,207","6,130","4,352","2,922",16.10%,48.0
140,"97,169",50,"4,749","8,258","3,383","10,442","10,549","2,628","5,944","13,499","20,001","8,175","3,322","6,169",16.00%,36.0
143,"77,398",196,"4,646","9,067","1,165","9,125","2,561","1,186","9,033","6,286","15,889","8,543","3,723","5,978",15.70%,38.0
145,"79,370",531,"5,847","7,600","1,016","12,245","4,659","1,163","2,704","9,465","18,128","7,924","3,036","5,052",16.80%,39.0
148,"84,143","3,029","8,316","1,302","1,713","10,640","4,657",880,"5,273","8,014","16,651","11,453","4,813","7,402",10.40%,58.0
149,"471,067","3,378","34,912","16,527","12,959","53,877","27,797","8,406","32,399","45,852","96,635","69,130","22,656","46,539",17.20%,34.0
151,"83,147","1,893","6,446","1,521","2,528","8,896","4,593","1,799","5,876","9,255","13,884","18,736","3,008","4,712",14.40%,25.0
152,"211,320","2,792","13,294","17,062","5,744","24,180","8,084","4,887","14,515","28,270","50,752","19,108","11,447","11,185",10.90%,40.0
155,"87,152","5,253","6,306","10,913","2,483","11,953","3,124","1,429","3,908","7,897","18,530","6,524","4,962","3,870",11.90%,27.0
156,"69,862","1,131","6,062","5,679","2,136","8,283","2,580",981,"4,592","6,694","16,863","8,466","3,402","2,993",10.20%,30.0
158,"32,044",770,"1,404","4,505","1,455","3,936","1,443",395,"2,425","2,477","8,675","2,033","1,515","1,011",7.00%,40.0
159,"101,586",726,"3,873","9,239","2,552","10,720","4,009","1,861","4,938","9,125","38,849","9,566","3,074","3,054",12.30%,42.0
160,"2,521,026","5,316","119,545","249,971","74,609","256,086","171,896","54,240","207,092","360,171","564,363","247,468","122,641","87,628",15.60%,53.0
161,"490,503","1,073","23,672","62,873","17,790","48,311","29,515","12,823","42,754","73,544","101,970","43,816","20,952","11,410",13.00%,39.0
162,"265,968","2,343","18,361","42,970","10,126","27,595","14,526","6,064","16,830","33,220","53,522","23,156","11,876","5,379",16.00%,35.0
163,"351,135",757,"17,537","58,982","17,865","42,351","12,230","4,475","26,533","51,400","63,162","29,578","15,290","10,975",15.00%,35.0
164,"163,454","1,113","11,661","25,028","6,772","20,279","7,659","3,681","12,394","17,433","30,525","15,375","7,531","4,003",11.70%,43.0
165,"91,757","1,010","3,287","5,747","1,808","11,839","3,084","1,089","18,944","8,472","20,511","10,377","2,986","2,603",12.10%,37.0
166,"47,989","1,278","3,137","7,726","1,142","5,549","2,864",776,"3,069","3,481","10,085","4,998","2,135","1,749",10.60%,40.0
167,"123,979","1,191","6,906","15,372","2,851","14,760","8,818","2,179","7,253","9,611","28,674","13,943","6,800","5,621",8.60%,44.0
168,"85,449","1,338","4,412","14,295","2,241","9,338","3,669","1,325","4,054","8,042","21,784","6,931","4,417","3,603",10.10%,42.0
169,"69,021",466,"3,856","13,651","1,639","8,845","4,486","1,350","2,687","5,025","15,084","5,929","2,992","3,011",7.70%,36.0
170,"93,156","1,279","4,631","5,125","2,066","8,819","3,816","1,647","8,926","8,568","23,711","9,244","4,142","11,182",21.50%,34.0
171,"342,392","1,859","22,514","38,345","11,467","45,034","25,321","6,992","23,851","39,149","74,314","29,611","12,403","11,532",12.60%,45.0
172,"131,245",656,"6,661","27,816","3,188","16,032","5,363","1,770","5,709","11,442","29,660","12,460","6,254","4,234",10.70%,35.0
