,County_Name,Civilian employed population 16 years and over_2010,"Agriculture, forestry, fishing and hunting, and mining_2010",Construction_2010,Manufacturing_2010,Wholesale trade_2010,Retail trade_2010,"Transportation and warehousing, and utilities_2010",Information_2010,"Finance and insurance, and real estate and rental and leasing_2010","Professional, scientific, and management, and administrative and waste management services_2010","Educational services, and health care and social assistance_2010","Arts, entertainment, and recreation, and accommodation and food services_2010","Other services, except public administration_2010",Public administration_2010,Industry_2010,Civilian employed population 16 years and over_2015,"Agriculture, forestry, fishing and hunting, and mining_2015",Construction_2015,Manufacturing_2015,Wholesale trade_2015,Retail trade_2015,"Transportation and warehousing, and utilities_2015",Information_2015,"Finance and insurance, and real estate and rental and leasing_2015","Professional, scientific, and management, and administrative and waste management services_2015","Educational services, and health care and social assistance_2015","Arts, entertainment, and recreation, and accommodation and food services_2015","Other services, except public administration_2015",Public administration_2015,Industry_2019,Civilian employed population 16 years and over_2019,"Agriculture, forestry, fishing and hunting, and mining_2019",Construction_2019,Manufacturing_2019,Wholesale trade_2019,Retail trade_2019,"Transportation and warehousing, and utilities_2019",Information_2019,"Finance and insurance, and real estate and rental and leasing_2019","Professional, scientific, and management, and administrative and waste management services_2019","Educational services, and health care and social assistance_2019","Arts, entertainment, and recreation, and accommodation and food services_2019","Other services, except public administration_2019",Public administration_2019,Industry_2015,2019_Median_AQI,2015_Median_AQI,2010_Median_AQI
455,"Dauphin County, Pennsylvania","129,444",948,"7,709","11,410","4,473","13,709","8,141","1,500","10,587","12,614","30,134","11,069","4,318","12,832",5.90%,"133,305",644,"5,322","11,005","4,160","15,216","7,936","2,329","10,159","11,737","32,570","13,256","5,662","13,309",17.50%,"141,549","1,825","5,849","14,663","6,499","14,601","8,841","1,231","10,263","14,075","35,138","10,635","6,434","11,495",22.30%,41.0,50.0,47.0
456,"Delaware County, Pennsylvania","265,831",932,"14,480","22,333","5,459","26,050","13,653","6,174","22,735","29,857","80,923","21,599","13,044","8,592",10.60%,"280,126","1,448","14,260","19,063","7,405","28,316","14,752","5,961","22,637","33,684","85,623","22,825","12,612","11,540",10.90%,"282,015",829,"16,212","20,114","5,753","29,234","19,093","5,612","22,924","35,312","79,376","26,617","11,104","9,835",17.00%,44.0,48.0,51.0
457,"Erie County, Pennsylvania","125,071",879,"5,572","23,546","2,529","13,718","4,958","1,374","5,555","7,728","35,734","12,285","6,002","5,191",6.10%,"127,249","1,544","5,023","22,891","2,649","12,943","4,647","1,862","8,760","8,107","32,116","16,257","6,351","4,099",10.90%,"125,802","1,402","6,936","18,353","2,163","12,645","5,746",743,"8,394","9,778","37,940","11,488","7,041","3,173",9.90%,36.0,40.0,42.0
458,"Franklin County, Pennsylvania","68,976","2,286","4,639","10,932","1,730","8,304","2,816","1,037","3,130","4,317","15,550","5,894","4,002","4,339",3.20%,"72,851","1,851","4,271","11,913","2,050","8,569","4,714","1,063","4,860","5,216","15,357","4,978","3,609","4,400",6.40%,"75,911","3,107","4,893","11,414","2,481","9,745","6,360",607,"2,512","4,871","16,677","5,923","3,436","3,885",10.30%,36.0,34.0,45.0
459,"Lackawanna County, Pennsylvania","96,839",396,"4,485","10,634","3,421","10,995","4,126","1,707","6,122","6,630","29,419","7,331","5,042","6,531",4.30%,"100,019",725,"5,777","11,237","4,106","11,239","4,825","1,823","5,315","8,840","28,366","8,680","4,623","4,463",9.20%,"99,057",556,"5,944","8,818","3,893","11,680","5,990","2,294","6,467","9,581","25,990","8,943","4,523","4,378",9.30%,37.0,43.0,40.0
460,"Lancaster County, Pennsylvania","249,828","7,495","19,926","42,392","10,453","31,478","10,551","3,604","14,267","17,670","54,987","17,781","12,097","7,127",4.90%,"266,353","8,972","20,913","43,030","10,008","30,268","12,796","2,936","12,580","24,446","60,192","20,219","12,909","7,084",10.00%,"276,659","6,162","22,854","40,345","9,730","32,971","14,807","4,228","15,149","23,991","65,613","22,279","13,172","5,358",20.10%,45.0,50.0,48.0
461,"Lawrence County, Pennsylvania","38,593",491,"2,806","4,545","1,190","6,417","2,812",409,"1,571","2,624","9,590","3,307","1,647","1,184",11.20%,"37,488",682,"2,286","5,954",836,"5,190","2,600",424,"1,867","2,338","9,486","2,754","1,931","1,140",8.50%,"40,252",585,"3,672","5,721",973,"4,079","2,722",496,"1,589","2,662","10,284","3,631","2,649","1,189",9.30%,31.0,33.0,33.0
462,"Lehigh County, Pennsylvania","160,616",403,"7,957","23,169","4,534","19,524","7,275","5,031","8,688","18,265","43,282","11,783","6,586","4,119",4.80%,"175,761",560,"8,694","25,651","5,450","20,964","11,673","2,751","9,437","20,592","42,474","16,442","7,198","3,875",7.50%,"180,750","1,258","7,927","21,742","5,208","21,281","17,040","2,967","8,597","18,342","47,762","18,029","6,704","3,893",9.90%,38.0,34.0,31.0
463,"Luzerne County, Pennsylvania","142,502","1,017","6,521","18,953","5,246","20,031","9,319","2,346","7,743","11,345","35,853","11,524","5,017","7,587",5.50%,"148,579",854,"6,785","19,681","5,339","20,848","9,466","1,909","7,395","13,179","36,653","13,447","5,351","7,672",10.80%,"153,698",882,"7,787","22,388","4,256","20,261","11,869","2,438","8,004","11,761","35,035","14,373","7,361","7,283",11.90%,34.0,34.0,29.0
464,"Lycoming County, Pennsylvania","52,784",538,"2,861","8,964","1,165","6,666","3,578",723,"2,522","3,694","11,913","4,342","3,227","2,591",6.50%,"55,739","1,614","3,653","8,444","1,630","6,341","2,899",873,"1,681","4,011","15,597","5,110","2,086","1,800",8.40%,"50,871","1,038","4,421","7,044","1,741","6,134","2,210",284,"2,383","3,491","12,643","3,692","3,159","2,631",11.90%,35.0,34.0,40.0
465,"Mercer County, Pennsylvania","48,826",841,"2,453","8,755",943,"5,869","2,505",723,"1,884","2,824","14,314","3,491","1,744","2,480",3.30%,"49,103","1,172","2,112","7,867",645,"6,344","2,057",690,"2,253","3,722","14,115","3,915","2,137","2,074",8.20%,"49,240",665,"2,466","9,126","1,008","4,967","2,408",212,"2,688","3,974","14,006","3,152","2,476","2,092",7.20%,41.0,45.0,47.0
466,"Montgomery County, Pennsylvania","411,517","1,750","23,472","47,202","12,669","43,224","14,631","9,183","41,825","58,720","102,572","26,997","17,919","11,353",5.80%,"423,298","1,312","25,500","46,430","12,294","43,094","13,953","10,516","40,826","64,186","103,786","32,741","20,353","8,307",9.80%,"441,752","1,041","25,888","52,790","12,598","40,185","12,899","9,621","44,820","70,020","111,419","29,949","19,444","11,078",10.80%,35.0,42.0,45.0
467,"Northampton County, Pennsylvania","136,335",207,"6,513","21,400","4,623","15,492","6,885","3,857","8,513","13,271","35,865","9,957","5,881","3,871",5.10%,"148,305","1,047","7,032","21,733","4,002","17,784","9,268","3,078","7,299","14,088","39,515","11,601","7,046","4,812",8.00%,"153,528","1,036","8,785","21,060","5,528","14,460","11,738","2,616","8,664","12,190","42,654","12,233","6,605","5,959",13.20%,40.0,50.0,52.0
468,"Philadelphia County, Pennsylvania","597,521","1,065","21,677","42,841","11,982","60,638","30,368","11,409","36,268","70,778","182,275","58,846","30,753","38,621",13.10%,"676,371","1,878","25,245","46,786","14,808","72,694","42,307","12,580","36,240","79,697","199,907","67,966","33,787","42,476",17.10%,"724,956","1,704","29,550","46,184","13,098","65,893","41,065","15,537","46,862","89,460","230,336","68,879","36,938","39,450",19.90%,44.0,51.0,52.0
470,"Somerset County, Pennsylvania","32,971","1,612","2,404","4,869",812,"3,785","1,884",575,"1,075","1,971","6,722","3,863","1,473","1,926",4.50%,"32,286","1,600","2,398","3,895",799,"3,576","2,062",226,"1,827","2,562","8,324","2,356","1,235","1,426",7.10%,"31,749","1,428","2,368","4,428",597,"3,619","2,523",146,"1,348","1,900","7,278","2,259","1,901","1,954",5.90%,36.0,34.0,37.0
471,"Washington County, Pennsylvania","95,951","2,157","7,583","10,490","2,800","9,270","6,081","1,369","6,202","8,670","23,499","9,692","4,951","3,187",4.90%,"98,883","4,437","6,914","11,617","2,593","11,975","4,460","1,284","6,262","10,287","23,438","8,551","4,471","2,594",9.70%,"100,644","3,268","8,818","10,860","3,220","12,278","5,199","1,971","6,034","8,587","23,923","8,726","4,780","2,980",15.90%,44.0,50.0,54.0
472,"Westmoreland County, Pennsylvania","167,264","1,068","10,009","22,305","6,508","21,512","11,069","2,631","7,741","14,426","42,758","12,021","9,100","6,116",5.00%,"171,930","1,704","10,592","26,404","6,209","22,509","9,809","1,448","9,624","14,547","40,560","12,661","10,706","5,157",10.10%,"171,479","1,845","11,212","24,317","5,570","19,913","11,751","1,528","9,370","14,145","42,105","14,043","10,448","5,232",8.00%,38.0,44.0,52.0
473,"York County, Pennsylvania","215,887","2,060","16,491","37,638","6,398","26,091","11,001","3,047","10,571","19,429","47,540","15,515","10,705","9,401",4.90%,"222,498","1,343","17,145","35,802","7,363","25,726","14,239","2,446","11,571","18,864","47,600","17,541","11,527","11,331",8.10%,"227,753","2,445","13,818","37,335","7,318","24,908","15,118","2,204","13,121","21,127","50,532","16,269","11,105","12,453",9.20%,41.0,48.0,50.0
474,"Kent County, Rhode Island","80,650",236,"3,814","9,704","2,431","12,274","3,337","1,269","7,314","6,645","18,763","7,721","3,360","3,782",4.90%,"88,620",54,"4,917","11,746","3,006","9,976","3,606",944,"5,707","7,849","22,254","10,190","3,461","4,910",9.60%,"90,954",431,"6,186","9,619","1,986","9,891","5,179","2,464","6,520","9,059","21,573","8,547","5,321","4,178",10.40%,32.0,37.0,35.0
475,"Providence County, Rhode Island","279,266",297,"11,888","36,307","8,819","36,297","9,960","5,827","19,035","25,109","73,275","28,482","12,004","11,966",6.50%,"303,019",801,"13,506","36,774","9,499","37,415","12,472","5,459","19,314","27,663","83,648","31,942","13,837","10,689",11.10%,"324,969",739,"16,725","37,314","9,060","40,964","14,309","3,686","20,137","33,224","92,563","30,390","13,192","12,666",14.20%,43.0,44.0,40.0
476,"Washington County, Rhode Island","63,718",131,"4,952","5,786",824,"6,981","1,666",699,"3,778","5,258","18,505","9,069","2,434","3,635",3.90%,"65,560",431,"4,431","6,967","1,602","6,652","1,351",820,"3,600","6,438","17,712","9,068","3,466","3,022",8.60%,"64,398",571,"3,746","6,707","1,914","6,379","2,162",954,"4,052","8,374","17,813","7,173","2,568","1,985",14.60%,36.0,38.0,43.0
477,"Aiken County, South Carolina","65,366",876,"5,158","12,113","1,387","7,090","3,579","1,214","2,956","6,271","14,195","4,757","2,399","3,371",6.20%,"70,130",697,"5,553","9,519","1,059","10,559","4,966",550,"2,893","7,357","14,048","6,078","4,117","2,734",12.30%,"72,280","1,456","4,070","11,311",520,"7,427","3,497",790,"3,049","10,395","14,245","6,635","4,514","4,371",10.20%,37.0,38.0,39.0
478,"Anderson County, South Carolina","77,245",717,"4,689","17,369","1,762","10,173","3,758",589,"2,787","4,970","18,361","5,131","4,164","2,775",7.10%,"86,601",679,"4,572","20,465","1,403","10,379","3,753","1,799","3,926","6,445","19,778","6,363","4,446","2,593",8.30%,"95,471",146,"6,625","16,882","2,702","12,794","5,103",861,"3,200","8,072","22,882","7,925","5,594","2,685",10.90%,42.0,38.0,41.0
480,"Berkeley County, South Carolina","75,784",64,"6,198","8,767","1,702","8,645","4,943","2,344","3,335","7,694","15,516","7,535","3,873","5,168",7.90%,"92,066",171,"8,075","11,055","2,560","10,734","5,218","1,658","5,051","11,044","17,197","8,256","4,506","6,541",15.20%,"106,919",444,"10,416","13,772","1,787","11,529","7,204","1,261","4,198","12,981","21,587","8,347","6,933","6,460",22.20%,31.0,33.0,35.0
481,"Charleston County, South Carolina","166,893","1,130","11,658","10,606","3,693","19,761","7,935","4,608","9,211","22,060","37,293","21,054","8,380","9,504",11.10%,"196,142","1,031","11,907","10,645","5,503","19,005","8,859","4,272","14,584","29,290","43,935","28,520","9,912","8,679",12.00%,"210,904","1,216","16,955","14,744","5,667","19,747","8,141","3,884","12,841","31,934","46,902","28,423","10,089","10,361",16.30%,33.0,35.0,44.0
483,"Florence County, South Carolina","55,503",385,"2,179","5,115","1,368","6,899","2,988",595,"4,650","5,013","14,801","4,959","3,972","2,579",5.70%,"59,710",320,"2,644","9,164","2,208","6,957","3,926",492,"2,978","3,533","16,253","4,432","3,830","2,973",9.50%,"60,749",812,"4,316","10,279",816,"6,885","4,155",421,"2,690","3,474","16,125","6,329","2,302","2,145",12.80%,30.0,37.0,43.0
484,"Greenville County, South Carolina","205,346",750,"14,704","31,765","8,711","21,177","6,411","3,987","11,544","24,432","42,950","22,735","10,370","5,810",7.20%,"229,422",977,"12,764","39,082","6,785","23,634","7,740","6,841","13,492","28,372","49,407","21,731","12,517","6,080",7.80%,"259,705","1,038","20,880","46,966","7,956","25,027","8,908","3,888","16,205","29,589","54,578","25,874","12,850","5,946",11.90%,37.0,44.0,51.0
487,"Lexington County, South Carolina","126,322","2,302","8,297","12,256","4,305","15,717","6,176","1,660","9,775","11,217","29,119","9,469","6,183","9,846",4.90%,"137,043","1,454","10,678","14,050","4,469","14,833","6,603","2,027","9,682","14,556","31,462","10,145","7,868","9,216",9.60%,"146,104","1,145","12,416","12,860","4,813","16,967","8,908","2,169","12,045","15,480","30,653","12,573","7,971","8,104",9.50%,33.0,35.0,46.0
490,"Pickens County, South Carolina","47,668",512,"4,813","7,099","1,034","5,821","2,567",438,"1,734","3,484","11,173","5,155","1,914","1,924",6.70%,"52,412",785,"4,313","10,284","1,132","4,918","2,645",500,"2,695","3,811","13,902","3,786","2,260","1,381",7.20%,"58,814",0,"4,881","8,603","1,434","6,598","2,648",604,"2,349","3,788","17,229","6,159","2,928","1,593",12.00%,44.0,39.0,41.0
491,"Richland County, South Carolina","172,686",543,"9,214","11,214","3,482","20,011","6,954","4,588","13,910","17,698","44,105","17,604","8,011","15,352",5.20%,"194,291",549,"9,427","15,463","3,862","24,718","9,652","3,861","16,847","19,281","45,323","20,930","9,787","14,591",9.30%,"192,235",268,"8,799","13,182","3,122","19,021","9,647","2,497","14,297","18,908","51,159","24,237","10,212","16,886",15.00%,34.0,40.0,47.0
492,"Spartanburg County, South Carolina","122,856","1,134","7,651","25,358","4,979","16,055","6,053","2,710","4,785","9,285","23,928","11,910","6,508","2,500",7.00%,"134,166","1,010","7,915","29,533","6,030","15,486","5,927","3,091","5,316","10,576","25,914","12,956","8,131","2,281",10.50%,"146,410","1,386","7,885","29,924","4,768","13,716","12,162","1,530","6,018","12,930","30,824","13,905","8,013","3,349",11.40%,37.0,42.0,51.0
493,"York County, South Carolina","104,892",680,"5,572","14,608","4,901","11,701","6,426","1,566","8,101","10,751","23,550","8,828","4,736","3,472",7.10%,"122,708",456,"6,487","15,675","5,215","16,239","8,679","3,257","11,343","12,561","21,987","10,690","6,253","3,866",11.40%,"145,129",724,"6,974","17,085","4,662","17,409","9,327","2,512","15,206","17,769","26,555","14,920","8,242","3,744",9.20%,42.0,33.0,35.0
494,"Minnehaha County, South Dakota","90,822","1,333","4,568","9,994","3,274","11,358","3,177","1,432","12,323","6,061","23,590","7,211","3,680","2,821",3.30%,"98,816",805,"7,542","11,927","3,952","10,920","4,462","1,626","9,809","7,164","26,202","8,640","3,365","2,402",5.80%,"108,018",922,"6,685","12,794","4,646","9,129","4,559","2,214","12,212","9,776","26,982","9,874","5,991","2,234",6.80%,36.0,38.0,41.0
495,"Pennington County, South Dakota","49,655","1,247","2,599","2,071","1,518","5,238","2,781","1,079","3,412","5,855","12,066","7,018","1,746","3,025",3.00%,"54,629","1,502","3,958","3,585","1,399","6,467","2,580",748,"4,378","5,923","12,139","6,884","2,855","2,211",6.90%,"56,318","1,047","4,173","4,075","1,590","6,572","3,228",558,"4,690","3,264","14,979","7,777","1,909","2,456",11.00%,30.0,40.0,28.0
497,"Blount County, Tennessee","53,888",470,"4,271","6,846","1,603","7,454","2,803",938,"3,255","6,815","11,844","3,603","1,916","2,070",3.60%,"58,977",324,"3,260","8,997","1,270","7,972","2,633","1,275","4,466","7,208","11,659","5,113","3,477","1,323",10.40%,"62,135",581,"3,601","9,678",941,"7,012","2,515",279,"3,152","5,626","14,272","7,771","3,024","3,683",9.30%,41.0,40.0,47.0
499,"Davidson County, Tennessee","303,923","1,007","19,621","19,955","7,549","38,244","11,799","9,415","19,974","30,115","77,468","37,083","16,588","15,105",5.30%,"363,716",337,"20,138","27,285","8,626","39,943","17,904","9,442","28,501","46,996","86,084","45,233","18,831","14,396",10.80%,"394,519",909,"28,943","28,076","8,534","36,047","22,725","11,131","29,688","54,214","89,701","50,786","18,992","14,773",14.00%,45.0,45.0,50.0
500,"Hamilton County, Tennessee","157,077",323,"11,260","19,729","3,991","15,643","10,813","2,935","12,570","17,025","32,974","16,706","7,579","5,529",5.80%,"166,257",727,"7,941","21,620","4,801","20,611","13,746","2,611","12,820","17,469","35,861","16,019","8,609","3,422",11.00%,"182,370",293,"10,093","22,614","4,404","17,542","12,927","1,922","18,049","19,062","41,610","20,171","8,448","5,235",9.20%,45.0,41.0,49.0
501,"Knox County, Tennessee","202,584","1,053","14,186","15,422","8,072","27,969","8,359","4,973","11,654","26,239","50,341","15,979","11,804","6,533",4.30%,"226,545",961,"10,040","16,834","6,043","33,452","9,985","5,200","12,962","30,267","59,239","23,230","9,728","8,604",7.40%,"234,129","1,175","15,955","18,774","7,526","29,639","10,700","4,335","16,032","29,378","55,012","27,846","10,219","7,538",9.10%,42.0,43.0,44.0
504,"Montgomery County, Tennessee","69,666",125,"4,333","8,612","1,526","9,561","4,213",939,"3,320","6,432","16,018","6,119","2,731","5,737",6.50%,"76,546",709,"4,376","10,478","1,364","10,498","3,801","1,149","3,316","8,260","17,487","6,442","3,194","5,472",12.70%,"85,826",566,"6,810","10,071","1,538","8,728","3,877","1,575","2,959","7,462","21,054","10,889","2,975","7,322",13.60%,26.0,33.0,48.0
508,"Shelby County, Tennessee","407,623",707,"21,926","32,573","15,749","45,463","45,583","6,493","22,904","42,147","91,893","40,261","21,577","20,347",7.50%,"434,881",694,"20,719","38,558","14,959","51,921","54,859","7,549","23,732","45,539","95,607","38,127","24,033","18,584",11.50%,"440,856",923,"21,502","40,850","14,210","43,844","60,396","5,509","26,992","47,808","96,970","35,826","25,882","20,144",10.80%,44.0,42.0,53.0
509,"Sullivan County, Tennessee","63,476",830,"4,080","10,638",746,"9,561","2,604","1,137","2,404","5,058","16,000","5,621","2,475","2,322",5.40%,"66,359",373,"4,977","10,561","2,461","7,921","1,684","1,349","3,095","5,457","17,159","6,273","2,812","2,237",8.30%,"71,362",797,"4,685","10,390","1,591","9,149","3,731","1,013","4,605","7,120","15,056","6,663","4,578","1,984",10.40%,41.0,38.0,40.0
510,"Sumner County, Tennessee","73,536",675,"4,477","9,122","2,760","10,682","3,557","1,699","4,644","6,994","13,232","8,336","4,156","3,202",4.80%,"88,193",689,"4,529","9,433","5,136","10,399","5,634","1,524","4,870","10,455","19,312","8,023","4,866","3,323",10.90%,"96,531",428,"6,555","11,262","3,970","11,525","7,356","1,130","5,290","10,382","21,646","9,936","3,635","3,416",9.80%,40.0,40.0,49.0
511,"Williamson County, Tennessee","87,222",783,"4,618","5,651","2,929","8,792","3,188","2,956","8,348","11,838","23,681","6,858","4,391","3,189",4.50%,"105,778",704,"4,927","8,589","3,122","10,017","2,266","4,090","11,256","15,422","25,768","9,566","6,223","3,828",11.50%,"125,428",468,"6,313","9,328","3,569","15,257","2,922","3,478","12,295","19,057","29,678","12,846","7,277","2,940",13.80%,42.0,36.0,45.0
512,"Wilson County, Tennessee","50,865",256,"4,128","5,252","1,855","5,657","2,909","1,056","4,588","4,169","12,234","3,499","1,912","3,350",4.40%,"60,648",285,"3,868","5,091","2,730","6,710","4,517",870,"4,881","7,000","11,688","5,965","4,094","2,949",12.40%,"72,853",80,"6,918","7,719","2,370","8,160","5,828","1,144","4,855","6,903","17,777","6,350","2,418","2,331",12.20%,40.0,38.0,46.0
513,"Bexar County, Texas","760,305","4,927","57,977","44,085","17,856","91,582","33,852","16,812","68,081","82,671","175,816","80,070","39,182","47,394",6.20%,"858,184","13,197","64,260","50,570","23,377","103,544","38,961","17,107","76,754","96,500","192,767","98,232","40,791","42,124",10.50%,"959,285","9,538","83,769","44,999","20,083","117,017","47,474","14,447","81,896","114,947","220,230","113,897","49,154","41,834",11.60%,49.0,46.0,44.0
515,"Brazoria County, Texas","143,049","3,314","13,758","18,032","4,932","14,743","8,227","2,308","6,733","15,364","34,735","8,339","6,193","6,371",6.20%,"163,024","2,817","15,430","22,546","2,518","13,545","9,744","2,730","6,871","18,489","43,089","10,684","8,005","6,556",8.10%,"178,977","3,468","22,531","23,791","4,454","15,542","13,031","1,441","9,668","16,651","42,420","10,320","8,103","7,557",12.20%,33.0,33.0,36.0
516,"Cameron County, Texas","142,057","3,544","11,428","6,469","3,182","15,396","7,922","3,609","4,256","11,143","42,816","13,255","9,285","9,752",5.80%,"154,177","3,253","11,558","8,263","3,973","21,395","8,424","2,274","6,331","11,549","49,669","11,954","7,656","7,878",9.00%,"169,450","3,331","14,967","13,352","2,490","19,484","9,108","1,540","6,679","13,946","51,526","16,077","9,388","7,562",12.90%,44.0,42.0,42.0
517,"Collin County, Texas","398,911","4,111","15,700","43,305","10,955","47,932","12,804","16,902","43,698","63,104","81,520","28,859","15,940","14,081",4.90%,"472,022","4,171","22,613","44,571","13,569","54,885","14,456","16,730","52,750","78,764","94,877","39,081","23,055","12,500",8.60%,"544,849","5,437","29,140","40,082","15,462","60,519","24,204","16,916","64,950","95,152","110,519","47,213","24,143","11,112",12.40%,40.0,36.0,38.0
518,"Dallas County, Texas","1,107,409","7,371","101,760","110,618","28,738","117,273","64,592","27,332","107,710","144,022","199,218","101,238","64,829","32,708",7.40%,"1,254,419","11,162","121,330","108,286","37,050","135,246","79,224","33,309","104,549","180,026","219,955","127,970","69,459","26,853",9.60%,"1,331,184","9,170","152,572","101,232","40,260","140,555","92,567","22,033","116,609","199,737","233,350","126,982","69,597","26,520",10.80%,45.0,44.0,48.0
519,"Denton County, Texas","348,902","4,195","16,422","32,115","11,161","40,634","18,865","11,957","37,025","47,079","72,276","30,318","18,198","8,657",3.80%,"418,085","4,477","22,518","32,914","16,080","50,592","24,384","12,114","40,612","57,177","81,366","39,591","23,706","12,554",11.00%,"494,333","4,311","29,162","42,023","16,435","53,557","26,314","14,547","51,135","68,079","106,403","46,578","22,663","13,126",17.00%,43.0,43.0,44.0
520,"Ector County, Texas","62,517","7,202","3,658","5,103","2,692","7,764","3,811","1,189","3,654","4,007","11,630","5,110","4,766","1,931",4.60%,"75,131","11,145","7,411","4,082","3,445","8,540","4,383",803,"4,299","4,259","12,239","7,043","5,693","1,789",11.30%,"78,322","12,061","8,690","4,931","2,145","11,098","7,722",525,"2,773","4,427","11,389","6,645","4,536","1,380",10.60%,28.0,30.0,31.0
521,"Ellis County, Texas","69,135",728,"6,351","9,590","2,041","6,738","3,970","1,422","4,887","4,543","16,195","6,463","3,722","2,485",6.00%,"79,557",820,"6,696","9,260","2,423","10,591","6,777","1,503","5,525","8,836","15,699","5,206","3,564","2,657",8.80%,"92,686",943,"8,542","11,696","3,521","12,631","6,258","1,635","5,842","7,988","19,738","6,472","3,595","3,825",10.50%,40.0,40.0,43.0
522,"El Paso County, Texas","304,833","2,587","20,692","21,922","8,040","40,150","20,144","9,301","13,717","29,620","74,740","25,755","14,819","23,346",5.30%,"342,886","4,054","18,164","23,373","9,328","41,726","24,165","5,644","18,809","37,253","82,365","35,566","15,582","26,857",9.10%,"358,492","4,937","25,968","26,345","8,720","42,784","25,746","4,746","15,063","36,909","92,419","35,647","18,803","20,405",14.70%,53.0,50.0,54.0
523,"Galveston County, Texas","139,605","2,072","12,165","15,152","3,492","11,808","8,910","2,310","9,593","15,530","32,418","13,625","5,902","6,628",7.50%,"150,643","3,567","14,098","13,764","2,767","14,628","6,289","2,096","9,430","17,159","36,885","16,649","5,898","7,413",15.80%,"165,946","3,704","11,510","15,547","3,349","13,773","12,017","1,844","10,317","18,480","44,879","16,723","6,361","7,442",17.00%,39.0,39.0,39.0
524,"Gregg County, Texas","52,629","3,069","3,807","6,506","2,346","5,161","2,244",559,"2,377","5,321","10,485","6,566","2,953","1,235",5.60%,"55,799","2,948","2,244","7,866",730,"9,333","2,395",306,"2,783","4,481","13,262","4,872","3,163","1,416",6.40%,"55,593","2,524","2,988","5,459","1,633","5,289","2,808",211,"2,840","5,328","14,973","5,254","2,953","3,333",11.70%,35.0,33.0,37.0
525,"Harris County, Texas","1,903,488","51,200","189,374","200,240","66,415","211,396","121,042","25,551","106,098","243,663","358,369","160,442","111,554","58,144",7.30%,"2,203,452","78,111","221,125","212,800","80,188","246,327","147,992","28,776","132,054","281,919","405,906","198,199","117,747","52,308",10.30%,"2,295,580","77,200","251,066","211,704","75,057","243,621","159,351","24,455","130,156","290,162","449,024","206,695","125,369","51,720",13.00%,51.0,53.0,55.0
528,"Hidalgo County, Texas","278,649","8,941","20,905","14,005","8,340","39,925","11,765","4,201","11,678","22,033","88,723","22,651","15,456","10,026",3.80%,"309,408","12,992","24,016","13,781","11,107","43,584","16,429","3,242","12,939","24,818","89,662","27,586","17,968","11,284",7.50%,"341,483","10,410","28,054","21,184","7,470","46,009","14,982","2,829","12,903","34,326","94,106","34,252","21,422","13,536",9.00%,42.0,39.0,40.0
530,"Jefferson County, Texas","100,420","2,291","9,595","10,147","2,674","12,081","4,248","1,287","4,466","9,859","24,461","9,232","5,703","4,376",15.20%,"106,495","1,423","11,640","13,906","2,442","12,781","4,562",863,"4,160","9,794","23,614","10,007","5,936","5,367",11.20%,"106,369",874,"14,170","15,793","3,214","13,157","5,347",984,"4,611","7,585","21,500","8,237","5,642","5,255",10.20%,43.0,42.0,48.0
531,"Johnson County, Texas","67,377","3,287","5,790","10,357","1,829","7,023","4,054",663,"3,703","4,613","15,678","3,676","2,638","4,066",5.50%,"71,448","2,303","6,754","7,893","2,904","9,435","5,728",980,"3,529","5,267","15,686","3,809","3,188","3,972",8.60%,"84,483","1,276","8,891","8,748","1,977","13,148","6,371",627,"4,300","7,574","18,019","5,894","4,325","3,333",8.90%,38.0,35.0,36.0
532,"Kaufman County, Texas","47,829",252,"4,779","5,885","2,290","5,090","2,782",798,"3,311","4,046","10,221","3,151","2,422","2,802",3.40%,"51,435",625,"3,167","4,860","1,553","6,953","3,503","1,514","3,010","5,010","11,398","4,887","2,047","2,908",20.90%,"66,942",510,"7,314","4,761","2,946","9,600","5,025",977,"4,636","7,109","13,878","3,469","3,145","3,572",30.70%,39.0,37.0,42.0
534,"McLennan County, Texas","105,442","1,335","6,641","12,532","2,877","13,507","3,783","1,953","7,543","7,556","28,977","9,845","4,859","4,034",5.70%,"111,145","1,190","8,862","11,532","3,204","13,129","4,961","1,572","7,913","9,490","26,875","9,810","5,815","6,792",7.90%,"114,666",711,"8,897","13,893","2,512","11,098","7,170","1,584","7,064","10,712","31,275","9,480","5,020","5,250",7.70%,38.0,38.0,38.0
535,"Montgomery County, Texas","215,009","9,405","21,068","22,061","8,901","25,282","15,870","3,405","14,054","21,420","38,643","18,884","9,206","6,810",6.80%,"245,708","15,213","19,736","24,309","10,989","25,853","16,603","4,769","14,835","31,654","43,198","17,653","13,868","7,028",11.20%,"291,487","13,498","24,903","28,060","9,851","27,354","19,561","4,042","23,290","35,850","55,487","26,632","12,371","10,588",14.00%,38.0,42.0,45.0
536,"Nueces County, Texas","148,320","3,925","9,803","8,384","3,754","19,530","8,655","2,300","7,881","12,860","39,186","15,680","7,728","8,634",5.00%,"166,643","5,664","15,309","10,909","4,292","18,642","7,469","1,723","9,553","14,405","37,872","21,665","8,800","10,340",7.20%,"165,427","4,406","17,846","10,272","3,297","21,294","8,913","1,345","10,433","15,787","36,611","15,682","11,248","8,293",7.70%,42.0,41.0,42.0
