County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,Industry
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.90%,0.00%,4.30%,17.10%,39.70%,57.70%,22.10%,20.90%,33.70%,10.80%,7.00%,14.40%,16.50%,18.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,4.90%,32.30%,58.40%,5.20%,1.10%,1.90%,2.80%,9.30%,5.20%,0.90%,1.10%,0.40%,10.60%,0.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.50%,0.00%,4.10%,45.60%,44.80%,24.00%,65.20%,2.10%,3.10%,3.60%,1.50%,6.20%,7.80%,2.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Barnstable County, Massachusetts","108,192",424,"10,572","3,954","2,350","14,500","4,176","2,220","7,128","14,373","25,542","11,299","5,838","5,816",,12.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.20%,38.00%,13.70%,37.40%,7.00%,13.70%,10.80%,67.70%,53.10%,59.20%,69.50%,26.30%,18.60%,37.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.90%,0.00%,0.40%,0.00%,0.00%,6.00%,5.60%,6.20%,2.70%,23.10%,20.10%,51.00%,38.00%,42.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.30%,0.00%,8.60%,15.60%,60.80%,70.30%,21.10%,26.10%,39.70%,10.70%,9.10%,17.80%,15.60%,16.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,62.00%,76.90%,3.40%,8.30%,2.10%,9.10%,0.00%,0.00%,3.20%,0.30%,0.40%,18.10%,3.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,7.40%,0.00%,0.40%,43.70%,23.80%,7.90%,53.40%,0.00%,4.50%,3.80%,0.90%,4.60%,9.70%,0.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Berkshire County, Massachusetts","64,358",449,"3,597","4,992","1,358","8,416","2,125","1,647","2,688","7,156","21,208","5,788","2,941","1,993",,16.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.70%,29.60%,15.10%,33.50%,9.10%,6.30%,5.00%,51.50%,48.70%,51.10%,69.10%,26.70%,31.00%,39.10%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.40%,28.10%,0.00%,0.00%,0.00%,3.20%,0.00%,2.80%,1.40%,40.20%,19.90%,61.30%,42.10%,36.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.80%,2.70%,0.90%,15.40%,57.20%,64.10%,3.50%,34.10%,47.00%,4.60%,8.30%,10.60%,5.50%,18.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.20%,34.70%,82.00%,1.30%,8.80%,3.80%,18.10%,2.20%,2.80%,2.20%,1.40%,0.60%,20.80%,2.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.00%,4.90%,2.00%,49.80%,24.90%,22.60%,73.40%,9.50%,0.00%,1.90%,1.30%,0.80%,0.60%,3.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bristol County, Massachusetts","287,269","1,773","25,102","28,505","7,871","38,652","14,314","4,300","16,523","27,813","77,209","22,864","11,484","10,859",,13.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.70%,30.30%,16.60%,35.50%,18.20%,11.90%,14.00%,55.80%,56.20%,53.60%,64.90%,25.10%,13.20%,41.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.00%,3.20%,1.10%,1.70%,0.70%,6.70%,1.50%,5.00%,2.70%,20.80%,23.30%,54.40%,54.50%,44.20%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.70%,12.80%,6.40%,10.20%,46.90%,53.10%,17.10%,23.00%,36.70%,16.00%,9.80%,16.20%,7.90%,13.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,49.80%,74.80%,4.20%,0.90%,5.50%,6.20%,16.20%,2.20%,4.10%,0.90%,0.40%,16.00%,0.40%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,3.80%,1.20%,48.40%,33.40%,22.80%,61.20%,0.00%,2.10%,5.50%,1.10%,3.90%,8.40%,1.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Essex County, Massachusetts","418,763","1,591","23,716","44,302","7,920","45,340","20,674","10,983","29,286","61,697","103,012","38,839","15,157","16,246",,13.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,43.90%,48.60%,22.60%,38.20%,22.70%,14.60%,11.10%,73.20%,63.30%,63.10%,64.80%,17.50%,25.80%,44.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.30%,7.80%,0.90%,2.00%,5.00%,6.20%,2.20%,0.00%,2.60%,16.50%,23.00%,64.80%,46.10%,30.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.30%,3.80%,4.60%,12.90%,47.90%,63.60%,20.50%,21.40%,31.20%,14.50%,10.10%,13.20%,13.40%,19.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.40%,35.20%,67.70%,4.10%,4.70%,1.60%,8.20%,5.40%,2.20%,1.80%,0.90%,0.70%,7.60%,4.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.10%,4.60%,4.20%,42.80%,19.70%,13.90%,58.10%,0.00%,0.70%,4.10%,1.10%,3.80%,7.00%,0.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Franklin County, Massachusetts","36,241","1,266","2,178","4,036",805,"4,327","1,322","1,661","1,166","2,459","11,977","2,589","1,219","1,236",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.80%,28.30%,18.30%,31.70%,19.10%,5.10%,20.20%,55.00%,66.90%,48.70%,69.10%,11.90%,29.90%,51.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.60%,3.20%,0.70%,3.60%,0.00%,17.50%,0.00%,0.00%,4.80%,16.30%,15.40%,75.50%,58.50%,35.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.90%,18.40%,3.40%,9.50%,25.20%,55.40%,29.10%,32.50%,28.30%,12.90%,10.10%,7.40%,6.70%,11.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.40%,44.20%,76.40%,4.40%,18.10%,5.30%,7.50%,12.50%,0.00%,0.00%,2.50%,0.00%,2.20%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.30%,5.80%,1.30%,50.80%,37.50%,16.70%,43.20%,0.00%,0.00%,22.10%,3.00%,5.20%,2.70%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Hampden County, Massachusetts","226,043","1,629","10,622","25,241","6,543","24,564","13,853","2,529","14,677","14,937","70,303","20,089","11,128","9,928",,13.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.30%,38.20%,20.70%,27.10%,9.00%,12.70%,23.40%,52.20%,52.10%,51.40%,59.50%,14.50%,29.00%,30.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,21.80%,0.00%,0.60%,2.00%,0.00%,6.70%,2.10%,0.00%,5.80%,19.40%,28.20%,66.60%,42.30%,52.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.50%,3.60%,6.90%,8.60%,45.20%,54.50%,14.90%,36.40%,35.70%,16.50%,10.00%,14.50%,5.90%,11.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.40%,58.20%,67.00%,4.90%,5.10%,1.90%,4.00%,0.00%,4.70%,3.90%,1.00%,0.40%,12.20%,5.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,0.00%,4.80%,57.40%,40.70%,24.20%,55.60%,11.40%,1.80%,8.80%,1.30%,4.10%,10.60%,0.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Hampshire County, Massachusetts","83,845",877,"3,934","6,753",859,"8,016","1,909","1,879","4,032","6,188","34,699","7,049","3,577","4,073",,15.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,50.70%,51.00%,12.30%,33.70%,14.70%,10.70%,31.10%,63.00%,67.90%,69.50%,69.50%,28.50%,28.50%,58.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.80%,5.60%,0.00%,0.80%,4.90%,4.20%,0.00%,1.90%,6.40%,13.60%,16.60%,62.00%,42.40%,19.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.90%,0.00%,5.00%,14.20%,66.90%,57.30%,13.50%,26.40%,25.70%,10.90%,11.80%,6.80%,11.50%,10.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.00%,43.40%,78.20%,11.20%,0.00%,1.20%,13.70%,0.00%,0.00%,1.00%,1.20%,0.00%,15.30%,7.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.50%,0.00%,4.40%,40.10%,13.50%,26.60%,41.70%,8.70%,0.00%,5.00%,0.90%,2.70%,2.20%,4.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Middlesex County, Massachusetts","905,724","2,353","46,388","87,490","15,226","73,908","33,449","25,808","62,830","183,712","247,563","63,829","35,688","27,480",,15.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,58.40%,58.30%,21.70%,65.40%,36.20%,21.50%,18.80%,73.40%,65.20%,77.50%,76.50%,26.00%,28.30%,50.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.30%,13.70%,0.80%,0.50%,1.00%,4.00%,2.70%,3.40%,1.70%,10.00%,14.20%,58.60%,42.30%,27.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,16.30%,0.00%,5.80%,10.90%,50.10%,57.30%,22.90%,17.30%,29.40%,10.30%,7.80%,10.90%,13.00%,16.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.50%,19.30%,68.10%,2.50%,2.80%,2.90%,6.10%,5.10%,1.70%,0.60%,0.80%,0.80%,11.30%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.50%,8.70%,3.70%,20.60%,9.90%,14.50%,49.50%,0.80%,2.00%,1.50%,0.60%,3.60%,5.10%,2.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Norfolk County, Massachusetts","387,426",856,"22,433","23,063","8,946","33,743","14,226","10,641","40,486","59,897","106,864","35,810","16,474","13,987",,14.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,56.80%,30.50%,36.40%,57.20%,30.40%,21.80%,22.70%,68.40%,70.40%,76.80%,76.90%,26.50%,34.00%,42.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,13.90%,0.00%,0.00%,0.20%,1.20%,5.60%,2.30%,1.40%,1.10%,8.60%,13.00%,59.80%,36.70%,30.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.70%,20.30%,6.80%,10.50%,45.20%,58.80%,21.30%,19.30%,25.40%,12.50%,8.70%,10.40%,12.60%,19.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.50%,34.80%,55.80%,4.60%,5.00%,2.90%,10.20%,9.70%,1.40%,0.90%,0.40%,0.50%,9.70%,2.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,6.10%,14.40%,1.10%,27.60%,18.20%,10.90%,43.50%,1.20%,1.70%,1.30%,1.00%,2.70%,7.00%,5.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Plymouth County, Massachusetts","271,697","2,140","20,527","17,318","7,535","36,188","14,557","4,457","22,442","30,622","67,136","23,108","12,905","12,762",,15.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,40.70%,30.60%,14.80%,42.20%,22.60%,13.80%,13.90%,61.90%,51.20%,60.80%,67.20%,18.90%,28.50%,38.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.50%,11.20%,0.10%,0.70%,0.00%,5.50%,2.80%,1.20%,2.10%,15.30%,21.50%,64.50%,30.10%,50.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.50%,12.20%,3.50%,19.20%,52.10%,55.10%,27.20%,14.60%,41.50%,18.60%,8.50%,10.20%,12.50%,8.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.80%,46.00%,77.20%,6.20%,4.00%,3.00%,11.10%,18.00%,2.60%,0.40%,0.90%,2.10%,21.40%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.40%,0.00%,4.30%,31.70%,21.30%,22.60%,45.00%,4.30%,2.60%,4.90%,1.90%,4.30%,7.50%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Suffolk County, Massachusetts","465,571",788,"17,072","21,466","6,427","38,744","20,631","10,026","35,788","83,723","139,201","52,934","20,601","18,170",,19.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,50.00%,69.50%,18.00%,54.10%,23.70%,21.50%,13.20%,71.60%,65.00%,72.00%,64.50%,17.90%,29.50%,49.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.50%,0.00%,0.00%,1.10%,0.00%,4.80%,4.00%,4.60%,1.40%,13.50%,21.00%,69.30%,39.90%,33.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,17.90%,16.50%,2.20%,14.50%,56.10%,56.50%,24.80%,16.40%,31.10%,11.50%,13.40%,8.30%,7.70%,12.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,4.30%,14.00%,79.50%,2.60%,0.00%,2.40%,3.40%,5.30%,1.00%,0.70%,0.30%,0.10%,10.20%,1.30%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,7.20%,0.00%,0.30%,27.80%,20.20%,14.80%,54.60%,2.00%,1.50%,2.30%,0.80%,4.50%,12.70%,3.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Worcester County, Massachusetts","431,073","1,688","29,808","52,007","11,229","49,541","20,455","7,317","22,659","47,622","122,111","34,378","18,583","13,675",,11.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,42.90%,19.20%,19.30%,43.60%,26.40%,13.20%,15.70%,66.90%,58.60%,69.20%,63.90%,16.50%,20.30%,34.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.20%,10.90%,1.60%,1.00%,0.00%,2.80%,2.20%,0.00%,4.00%,13.80%,24.10%,68.70%,43.40%,49.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.00%,3.70%,8.30%,10.70%,51.30%,56.10%,25.90%,21.90%,35.10%,12.20%,9.50%,11.80%,11.10%,12.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,7.70%,61.20%,68.10%,3.40%,2.40%,3.50%,7.50%,9.20%,2.10%,1.70%,0.70%,0.50%,19.20%,0.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.20%,5.00%,2.70%,41.30%,19.90%,24.40%,48.80%,2.00%,0.10%,3.10%,1.80%,2.50%,5.90%,2.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Allegan County, Michigan","56,551","1,944","4,021","13,650","2,220","5,885","2,231",146,"2,093","3,804","10,534","6,048","3,011",964,,8.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.60%,40.20%,8.20%,26.60%,14.80%,10.70%,19.90%,8.90%,32.50%,38.60%,64.90%,13.10%,14.20%,40.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.90%,0.00%,2.00%,0.30%,0.00%,6.40%,3.90%,0.00%,3.80%,29.80%,18.90%,66.80%,35.60%,7.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.90%,3.10%,5.10%,4.30%,51.90%,58.90%,28.80%,51.40%,58.10%,17.90%,11.90%,14.20%,20.00%,46.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.20%,53.40%,77.70%,8.30%,8.50%,8.10%,7.60%,39.70%,5.50%,0.60%,0.30%,0.00%,15.40%,5.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.50%,3.20%,7.00%,60.60%,24.80%,15.90%,39.80%,0.00%,0.00%,13.10%,3.90%,5.90%,14.80%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Bay County, Michigan","48,131",497,"2,696","8,164","1,235","5,555","3,067",941,"2,019","3,289","12,373","4,130","2,706","1,459",,13.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.00%,35.60%,9.70%,28.00%,18.20%,7.20%,9.60%,41.20%,10.10%,38.20%,56.20%,24.60%,28.20%,47.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.90%,0.00%,0.00%,0.00%,0.00%,2.60%,0.00%,14.60%,7.90%,13.90%,28.60%,61.20%,27.10%,30.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.70%,5.20%,6.00%,10.20%,56.80%,63.00%,33.80%,31.30%,75.30%,26.10%,9.80%,12.40%,15.20%,22.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.90%,52.10%,76.00%,10.80%,9.40%,5.70%,17.00%,12.90%,6.70%,1.90%,0.80%,1.80%,22.50%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.50%,7.00%,8.30%,51.00%,15.50%,21.40%,39.60%,0.00%,0.00%,19.90%,4.50%,0.00%,7.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Berrien County, Michigan","69,777","1,112","4,790","13,281","1,568","6,866","3,801","1,111","2,559","5,549","16,034","7,215","4,152","1,739",,17.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,34.30%,44.00%,9.40%,30.30%,13.80%,15.40%,14.00%,52.70%,40.60%,51.10%,61.40%,14.50%,25.60%,43.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.30%,13.20%,0.90%,1.00%,0.00%,3.60%,3.20%,0.00%,0.00%,21.30%,23.20%,75.10%,26.60%,38.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.40%,2.40%,10.00%,14.70%,65.10%,54.60%,18.90%,9.00%,54.10%,19.80%,11.70%,7.80%,6.60%,17.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.60%,30.10%,74.10%,5.40%,0.00%,8.20%,9.00%,29.60%,4.90%,1.30%,1.90%,0.10%,26.00%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.30%,10.30%,5.60%,48.60%,21.00%,18.20%,54.80%,8.60%,0.40%,6.60%,1.80%,2.50%,15.30%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Calhoun County, Michigan","62,429",999,"3,717","12,731","1,015","6,601","1,984",905,"2,340","4,064","14,587","9,418","2,290","1,778",,12.20%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.90%,27.40%,10.50%,17.90%,12.10%,5.90%,4.90%,53.80%,45.70%,46.60%,60.20%,16.70%,29.70%,34.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.60%,0.00%,1.20%,2.40%,0.00%,2.30%,1.40%,0.00%,4.10%,18.90%,27.10%,64.10%,34.30%,39.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,18.10%,1.20%,10.70%,8.10%,57.70%,56.00%,9.90%,41.50%,47.10%,18.10%,10.40%,13.50%,10.00%,8.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.70%,64.90%,74.40%,3.40%,7.90%,7.70%,7.60%,4.60%,3.10%,6.30%,0.60%,0.00%,14.60%,2.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.70%,6.50%,3.30%,68.10%,22.30%,28.20%,76.20%,0.00%,0.00%,10.20%,1.70%,5.70%,11.40%,16.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clinton County, Michigan","39,975","1,081","2,509","4,207","1,583","4,025","1,392",247,"2,777","3,030","10,366","2,758","2,137","3,863",,9.70%
    Total,,,,,,,,,,,,,,,,
        Estimate,41.20%,36.60%,17.20%,17.20%,4.20%,7.30%,11.50%,80.20%,50.20%,66.00%,73.90%,24.70%,20.10%,52.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,14.10%,21.50%,2.70%,1.90%,0.00%,3.40%,0.00%,9.70%,1.80%,8.60%,13.70%,62.10%,26.30%,28.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.70%,5.70%,3.50%,2.50%,49.00%,65.30%,15.70%,0.00%,46.20%,8.10%,9.10%,13.20%,40.80%,18.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.00%,34.20%,73.10%,10.60%,0.00%,2.60%,5.80%,10.10%,1.40%,1.40%,0.40%,0.00%,8.40%,1.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,1.90%,3.40%,67.80%,46.80%,21.40%,67.00%,0.00%,0.50%,15.80%,2.90%,0.00%,4.40%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Eaton County, Michigan","54,930",493,"3,028","7,835","1,028","4,727","2,885",764,"5,124","4,257","12,923","3,435","2,730","5,701",,9.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.40%,73.20%,24.30%,17.20%,27.40%,8.40%,23.30%,92.50%,54.60%,37.70%,56.70%,27.40%,13.70%,61.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.30%,3.40%,1.70%,2.80%,0.00%,3.60%,0.00%,0.00%,0.00%,32.20%,29.00%,58.70%,31.30%,8.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.00%,0.00%,2.30%,7.90%,45.50%,54.50%,24.20%,7.50%,41.70%,17.90%,10.70%,5.80%,37.00%,27.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.70%,16.80%,69.60%,4.20%,0.00%,6.00%,7.70%,0.00%,1.40%,0.30%,1.80%,0.60%,9.70%,1.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,17.60%,6.50%,2.00%,68.00%,27.00%,27.50%,44.90%,0.00%,2.30%,12.00%,1.90%,7.50%,8.20%,0.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Genesee County, Michigan","173,534",936,"12,141","31,349","4,321","22,644","6,266","1,404","7,443","14,957","42,863","17,588","7,587","4,035",,10.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.70%,46.30%,18.30%,24.10%,18.80%,13.20%,8.50%,62.00%,48.60%,48.40%,58.90%,12.70%,20.00%,35.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.00%,7.50%,0.00%,0.10%,0.00%,6.30%,0.80%,4.60%,5.90%,22.00%,28.00%,64.10%,36.30%,38.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.20%,0.00%,3.00%,5.40%,47.40%,57.70%,31.20%,28.30%,43.90%,18.80%,10.60%,18.90%,8.10%,23.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.70%,41.10%,72.70%,7.00%,4.30%,1.20%,6.70%,5.10%,0.40%,2.40%,0.20%,1.10%,26.10%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,19.50%,5.10%,6.00%,63.30%,29.60%,21.60%,52.80%,0.00%,1.10%,8.50%,2.30%,3.30%,9.50%,2.10%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Grand Traverse County, Michigan","48,556","1,067","3,384","5,278","1,638","6,392","1,270",769,"3,185","3,561","10,925","6,756","2,699","1,632",,14.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,38.30%,66.00%,29.40%,30.60%,0.00%,8.60%,2.50%,78.20%,39.80%,56.90%,72.40%,17.60%,29.50%,55.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.40%,0.00%,0.50%,1.90%,0.00%,5.30%,0.00%,4.20%,2.50%,22.80%,15.00%,63.10%,32.90%,16.50%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.60%,20.10%,5.30%,15.50%,47.00%,69.80%,26.20%,14.60%,50.50%,15.60%,7.40%,12.20%,14.20%,23.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.00%,13.90%,64.80%,5.40%,14.70%,1.30%,7.70%,3.10%,0.00%,4.40%,1.10%,0.00%,17.50%,5.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.70%,0.00%,0.00%,46.50%,38.30%,15.00%,63.50%,0.00%,7.20%,0.30%,4.10%,7.10%,5.90%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
