County_Name,Civilian employed population 16 years and over,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,PERCENT ALLOCATED,PERCENT IMPUTED!!Industry
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.90%,7.70%,6.60%,14.20%,46.80%,70.80%,22.50%,47.70%,53.50%,24.90%,11.50%,13.10%,19.00%,20.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.40%,23.10%,70.30%,8.60%,4.30%,4.70%,15.30%,8.90%,2.30%,2.20%,1.20%,1.70%,11.30%,4.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.70%,12.70%,4.40%,48.30%,22.60%,10.40%,31.60%,1.70%,2.20%,3.70%,2.20%,1.90%,10.20%,3.20%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Wagoner County, Oklahoma","36,287",573,"3,613","4,085","1,397","3,360","2,153",728,"2,301","3,614","7,819","2,636","1,955","2,053",,11.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.30%,43.80%,21.20%,22.00%,29.60%,12.60%,27.80%,44.90%,34.70%,48.30%,63.20%,16.30%,21.80%,37.90%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.00%,0.00%,0.00%,2.50%,0.60%,4.60%,0.00%,5.10%,1.30%,20.00%,20.60%,63.20%,32.00%,40.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.20%,19.20%,7.50%,16.50%,49.50%,70.00%,27.60%,37.10%,62.80%,19.60%,10.90%,12.70%,24.20%,18.10%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.00%,32.60%,66.80%,5.70%,4.00%,2.70%,17.00%,12.90%,0.00%,4.00%,1.00%,1.60%,10.70%,3.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.60%,4.40%,4.50%,53.20%,16.20%,10.20%,27.50%,0.00%,1.20%,8.10%,4.40%,6.20%,11.20%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Benton County, Oregon",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,11.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Clackamas County, Oregon","199,068","3,721","13,826","23,882","8,429","23,624","9,168","3,350","12,685","23,933","42,253","17,385","9,112","7,700",,10.40%
    Total,,,,,,,,,,,,,,,,
        Estimate,37.80%,29.50%,20.90%,35.20%,25.20%,9.90%,14.30%,50.40%,44.60%,59.20%,65.80%,16.60%,24.40%,33.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.70%,5.30%,2.70%,0.10%,5.40%,5.90%,1.00%,0.00%,4.60%,17.10%,22.10%,61.50%,34.00%,38.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.10%,11.50%,6.20%,20.30%,54.60%,67.60%,25.50%,37.10%,47.80%,20.40%,10.50%,15.70%,19.70%,22.40%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.40%,53.60%,66.00%,4.50%,2.70%,4.00%,7.20%,8.20%,2.00%,1.30%,0.60%,3.80%,8.50%,1.60%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.00%,0.00%,4.20%,39.90%,12.20%,12.60%,52.00%,4.30%,0.90%,1.90%,1.10%,2.30%,13.30%,3.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Deschutes County, Oregon","82,207","2,049","7,443","6,228","1,301","8,318","2,515","2,990","4,365","10,947","17,485","9,842","6,665","2,059",,8.60%
    Total,,,,,,,,,,,,,,,,
        Estimate,39.40%,58.50%,11.20%,28.00%,22.50%,11.50%,6.90%,73.60%,44.60%,57.60%,72.20%,25.90%,9.20%,45.80%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.80%,13.50%,0.80%,1.90%,0.00%,5.00%,0.00%,0.90%,2.90%,12.60%,15.10%,59.80%,46.30%,29.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.40%,4.40%,2.20%,18.00%,53.90%,76.40%,35.50%,22.60%,52.10%,22.70%,10.00%,11.30%,16.80%,23.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.80%,22.80%,79.00%,0.00%,7.00%,2.90%,23.60%,2.80%,0.00%,2.10%,1.40%,1.70%,13.40%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.60%,0.80%,6.90%,52.10%,16.60%,4.10%,34.00%,0.00%,0.50%,5.00%,1.30%,1.20%,14.30%,1.30%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Douglas County, Oregon","39,644","2,470","2,594","4,291",721,"3,658","1,980",915,"1,782","2,958","10,021","3,763","2,312","2,179",,8.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.40%,19.20%,23.50%,10.90%,5.70%,10.90%,29.30%,50.90%,56.70%,29.10%,48.10%,11.70%,26.30%,39.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.50%,3.00%,0.00%,0.90%,0.00%,4.50%,2.30%,0.00%,2.20%,19.50%,32.30%,66.10%,39.90%,24.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,21.20%,0.00%,1.90%,7.50%,80.90%,64.10%,6.50%,26.00%,30.90%,39.00%,15.60%,16.70%,3.40%,36.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.70%,50.40%,57.40%,9.40%,0.00%,6.20%,0.00%,23.10%,10.20%,1.60%,0.80%,1.40%,12.80%,0.00%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.30%,27.40%,17.30%,71.30%,13.50%,14.40%,61.90%,0.00%,0.00%,10.80%,3.20%,4.10%,17.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Jackson County, Oregon","90,729","3,749","5,653","8,645","1,246","14,035","4,066","1,166","3,473","8,203","22,007","9,376","5,141","3,969",,11.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.50%,20.50%,18.70%,18.20%,0.00%,10.80%,9.90%,69.30%,41.50%,51.70%,56.20%,22.50%,22.60%,51.20%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.90%,15.80%,0.00%,6.00%,0.00%,4.40%,1.50%,6.60%,5.20%,20.60%,28.70%,63.50%,39.10%,24.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,25.20%,5.70%,5.10%,18.60%,84.30%,70.80%,24.50%,20.10%,44.30%,19.90%,12.90%,12.30%,11.40%,18.60%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.00%,49.70%,66.30%,5.00%,0.00%,4.60%,16.80%,4.00%,4.50%,1.50%,1.50%,0.00%,19.70%,1.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,11.40%,8.30%,9.90%,52.10%,15.70%,9.30%,47.30%,0.00%,4.50%,6.20%,0.60%,1.60%,7.20%,4.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Josephine County, Oregon",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,14.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Klamath County, Oregon","25,846","2,137","1,075","2,241",595,"4,543","2,107",506,963,"1,736","5,416","1,826","1,017","1,684",,9.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.80%,32.20%,11.60%,19.10%,4.40%,12.90%,23.30%,28.50%,36.30%,47.50%,58.20%,14.60%,19.50%,40.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.90%,24.90%,15.60%,8.60%,0.00%,3.60%,0.00%,0.00%,0.00%,20.90%,26.90%,66.50%,17.80%,21.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,26.00%,0.80%,14.20%,9.00%,79.80%,69.90%,13.60%,38.90%,63.70%,20.10%,11.80%,15.90%,25.60%,3.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,11.70%,31.40%,58.50%,5.70%,4.70%,1.40%,15.90%,23.90%,0.00%,8.50%,1.80%,0.00%,22.70%,33.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.60%,10.60%,0.00%,57.60%,11.10%,12.20%,47.20%,8.70%,0.00%,3.00%,1.30%,3.10%,14.50%,0.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Lane County, Oregon","165,490","3,614","9,022","17,540","4,224","22,892","6,172","3,066","8,797","15,791","43,276","18,286","7,814","4,996",,10.30%
    Total,,,,,,,,,,,,,,,,
        Estimate,35.60%,25.00%,16.80%,25.00%,20.90%,13.60%,16.80%,54.30%,48.20%,52.50%,57.20%,20.30%,21.90%,54.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.80%,11.00%,1.00%,0.30%,0.90%,4.30%,1.10%,10.20%,5.10%,20.30%,27.20%,61.70%,39.30%,21.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.70%,4.90%,3.10%,12.20%,49.10%,64.70%,32.40%,27.80%,45.90%,21.50%,12.10%,10.80%,17.20%,17.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.40%,44.40%,75.90%,7.40%,9.20%,4.80%,3.70%,4.50%,0.30%,1.30%,1.50%,1.40%,10.00%,6.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,12.50%,14.80%,3.20%,55.00%,20.00%,12.70%,45.90%,3.30%,0.50%,4.40%,2.00%,5.80%,11.60%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Linn County, Oregon","49,437","2,639","2,948","7,393","1,010","6,649","2,415",304,"1,723","3,727","13,264","2,621","1,755","2,989",,9.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.90%,31.30%,20.10%,16.70%,22.00%,4.20%,17.10%,44.70%,44.60%,42.00%,51.90%,25.20%,16.10%,47.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.80%,1.10%,0.00%,0.50%,0.00%,4.00%,0.00%,0.00%,2.40%,29.00%,34.60%,61.20%,38.60%,31.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.20%,1.60%,9.00%,9.20%,29.00%,63.40%,26.60%,45.70%,34.20%,11.20%,9.60%,10.80%,19.70%,11.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,12.70%,56.00%,64.40%,14.40%,12.90%,11.10%,4.60%,9.50%,6.20%,2.00%,0.60%,0.30%,14.40%,9.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.40%,10.00%,6.50%,59.10%,36.10%,17.30%,51.80%,0.00%,12.60%,15.70%,3.30%,2.50%,11.20%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Marion County, Oregon","148,397","9,654","12,270","16,052","3,511","18,872","4,627","1,538","7,260","14,242","31,438","11,659","7,096","10,178",,17.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.20%,14.60%,10.00%,17.30%,28.50%,9.20%,9.00%,51.20%,42.50%,39.00%,53.30%,19.70%,23.30%,45.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.40%,1.50%,0.70%,1.80%,1.90%,4.40%,0.90%,0.00%,3.10%,24.30%,29.10%,61.20%,44.40%,26.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.10%,4.00%,7.60%,8.80%,42.20%,69.40%,17.40%,30.70%,49.40%,23.90%,12.90%,9.50%,11.00%,27.00%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,15.40%,74.50%,75.60%,8.30%,4.40%,3.80%,14.10%,11.60%,2.20%,6.10%,1.50%,6.80%,15.00%,0.10%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,13.90%,5.40%,6.10%,63.80%,23.00%,13.20%,58.50%,6.60%,2.80%,6.60%,3.30%,2.70%,6.30%,0.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Multnomah County, Oregon","419,701","5,985","17,481","36,670","12,832","44,738","18,160","9,763","24,713","59,828","107,665","48,706","19,908","13,252",,10.90%
    Total,,,,,,,,,,,,,,,,
        Estimate,44.90%,19.90%,21.80%,41.50%,20.60%,18.70%,17.30%,70.90%,43.80%,66.00%,68.10%,21.70%,28.50%,54.70%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.60%,11.10%,0.70%,1.30%,3.40%,5.80%,1.20%,4.40%,6.30%,11.70%,19.80%,64.60%,44.20%,23.90%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.80%,6.50%,5.30%,13.20%,45.70%,58.00%,27.90%,22.40%,46.40%,16.40%,10.30%,10.80%,10.40%,16.80%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,5.50%,54.80%,65.20%,4.60%,4.80%,3.60%,3.10%,1.30%,2.10%,0.50%,0.40%,0.00%,10.60%,4.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,10.20%,7.50%,7.10%,39.40%,25.50%,13.80%,50.50%,0.90%,1.40%,5.40%,1.40%,2.90%,6.30%,0.40%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Polk County, Oregon",N,N,N,N,N,N,N,N,N,N,N,N,N,N,,13.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Umatilla County, Oregon","33,623","2,531","1,287","3,865",797,"5,115","2,323","1,077",886,"2,192","6,096","2,994","1,464","2,996",,7.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,24.10%,11.70%,27.50%,11.70%,4.50%,6.10%,1.40%,28.60%,64.00%,50.50%,54.00%,4.80%,6.00%,37.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.80%,3.10%,0.00%,6.60%,0.00%,0.10%,0.00%,0.00%,4.20%,11.20%,29.80%,73.30%,61.40%,48.40%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.60%,1.90%,10.60%,7.50%,43.90%,67.00%,21.70%,63.00%,19.40%,20.30%,11.20%,11.70%,8.70%,12.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,10.40%,59.70%,54.00%,14.30%,0.00%,3.50%,13.60%,8.40%,0.00%,0.00%,0.00%,2.50%,3.70%,0.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,22.10%,23.60%,7.90%,59.90%,51.60%,23.20%,63.30%,0.00%,12.40%,18.10%,5.00%,7.70%,20.20%,0.50%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Washington County, Oregon","288,228","4,684","13,032","50,740","9,647","31,156","9,969","6,766","20,527","40,341","56,039","23,784","10,548","10,995",,9.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,44.60%,18.00%,26.80%,60.20%,25.40%,16.80%,24.90%,56.60%,52.80%,59.30%,61.10%,16.80%,22.50%,39.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,17.10%,2.70%,0.00%,1.60%,1.20%,5.00%,3.00%,0.80%,2.10%,18.20%,25.50%,67.70%,47.40%,29.80%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.00%,17.60%,13.20%,8.20%,52.80%,66.50%,24.20%,36.80%,42.40%,17.30%,10.60%,12.40%,16.10%,24.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.10%,55.00%,57.30%,4.70%,4.40%,4.00%,4.40%,4.00%,1.90%,1.40%,0.90%,0.60%,5.50%,4.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,9.20%,6.80%,2.70%,25.40%,16.20%,7.70%,43.60%,1.80%,0.80%,3.80%,1.90%,2.50%,8.50%,1.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Yamhill County, Oregon","47,156","2,437","2,322","8,307","1,500","6,005","1,210",588,"2,435","3,513","9,437","5,033","2,033","2,336",,9.50%
    Total,,,,,,,,,,,,,,,,
        Estimate,31.30%,16.20%,20.70%,27.30%,30.80%,6.60%,13.20%,61.60%,35.30%,49.80%,60.00%,15.80%,21.50%,32.00%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,20.50%,0.00%,0.00%,0.00%,0.00%,12.40%,0.00%,0.00%,3.40%,35.00%,28.90%,66.30%,37.60%,33.70%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.70%,8.50%,13.00%,5.40%,34.60%,58.40%,23.20%,15.80%,58.90%,10.20%,10.00%,7.20%,30.10%,30.50%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.30%,71.10%,60.00%,4.00%,12.70%,3.40%,16.40%,7.00%,2.50%,0.00%,0.30%,0.00%,6.60%,3.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,18.10%,4.10%,6.40%,63.30%,21.90%,19.30%,47.10%,15.60%,0.00%,5.00%,0.80%,10.70%,4.30%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Adams County, Pennsylvania","51,023","1,070","3,315","9,690","1,027","6,518","2,321",529,"1,408","3,439","11,793","4,494","2,594","2,825",,7.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,29.60%,15.70%,19.80%,14.00%,8.60%,9.90%,7.50%,51.40%,45.20%,47.30%,59.40%,19.10%,20.00%,38.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.70%,0.80%,0.00%,2.90%,1.30%,6.30%,0.00%,0.00%,5.90%,19.10%,28.10%,72.00%,24.10%,33.10%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,20.60%,12.60%,9.40%,14.60%,51.50%,54.50%,15.10%,40.30%,47.00%,20.50%,10.20%,6.10%,22.60%,21.30%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.40%,53.90%,53.90%,3.90%,7.70%,8.40%,14.30%,2.60%,0.00%,6.80%,0.50%,0.60%,27.10%,1.50%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,21.70%,16.90%,16.90%,64.60%,31.00%,20.90%,63.10%,5.70%,1.80%,6.40%,1.80%,2.30%,6.10%,5.70%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Allegheny County, Pennsylvania","623,721","5,298","31,703","50,476","18,246","69,522","28,171","12,039","53,100","79,931","170,259","59,249","28,646","17,081",,10.10%
    Total,,,,,,,,,,,,,,,,
        Estimate,44.60%,45.00%,20.90%,44.60%,26.70%,14.90%,18.50%,48.60%,52.30%,62.00%,68.30%,19.00%,31.80%,38.50%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,16.40%,1.30%,0.10%,1.00%,0.50%,5.30%,1.70%,4.00%,3.20%,13.50%,17.60%,66.10%,34.40%,34.00%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,24.30%,7.30%,7.40%,18.10%,47.80%,66.60%,28.80%,34.80%,41.80%,18.20%,11.90%,11.40%,17.10%,20.70%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,6.30%,33.40%,68.10%,4.40%,2.40%,4.00%,7.00%,9.80%,0.90%,2.50%,0.70%,0.90%,10.70%,1.90%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,8.40%,12.90%,3.50%,32.00%,22.50%,9.30%,44.00%,2.70%,1.70%,3.90%,1.60%,2.70%,6.00%,4.90%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Armstrong County, Pennsylvania","27,885",861,"2,958","4,157",647,"2,894","1,324",168,"1,192","1,796","7,807","1,679","1,326","1,076",,10.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,30.30%,19.90%,10.80%,17.30%,10.50%,16.80%,6.40%,46.40%,46.40%,48.30%,51.90%,15.60%,35.60%,30.30%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,19.60%,0.00%,0.00%,0.00%,0.00%,3.80%,2.60%,4.20%,13.70%,17.00%,35.80%,71.00%,34.40%,37.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,19.10%,13.20%,6.60%,7.60%,52.10%,66.40%,14.70%,19.00%,37.50%,22.10%,11.00%,8.20%,8.30%,24.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,14.30%,57.30%,78.10%,9.30%,1.90%,5.60%,10.70%,19.00%,2.40%,3.60%,0.20%,1.30%,17.60%,7.20%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.70%,9.60%,4.50%,65.90%,35.50%,7.40%,65.60%,11.30%,0.00%,8.90%,1.20%,3.90%,4.10%,0.00%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Beaver County, Pennsylvania","81,321","1,096","4,284","10,565","2,472","9,655","7,216","1,039","4,622","7,578","19,049","7,268","4,217","2,260",,13.80%
    Total,,,,,,,,,,,,,,,,
        Estimate,33.30%,33.50%,20.90%,25.40%,10.60%,12.70%,13.20%,69.00%,46.00%,51.00%,58.10%,16.10%,26.70%,28.60%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,18.30%,3.30%,0.00%,2.10%,3.20%,4.80%,2.90%,0.00%,1.90%,16.50%,28.00%,62.90%,37.80%,44.60%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,22.70%,10.70%,8.20%,15.80%,45.50%,64.30%,20.80%,17.50%,40.80%,19.90%,11.20%,13.10%,8.90%,19.20%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,9.20%,32.60%,70.30%,7.50%,6.30%,8.30%,10.80%,10.80%,1.40%,2.70%,1.50%,1.40%,18.60%,1.70%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,16.50%,20.00%,0.60%,49.30%,34.50%,9.90%,52.30%,2.70%,9.90%,9.90%,1.20%,6.60%,8.00%,5.80%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
"Berks County, Pennsylvania","200,854","2,523","10,876","39,280","7,314","24,110","10,363","2,602","11,881","18,320","44,631","14,731","8,981","5,242",,9.00%
    Total,,,,,,,,,,,,,,,,
        Estimate,32.10%,39.50%,19.60%,19.30%,12.40%,7.90%,10.10%,44.00%,46.30%,52.60%,61.70%,17.60%,18.80%,33.40%,,(X)
"    Management, business, science, and arts occupations",,,,,,,,,,,,,,,,
        Estimate,15.40%,2.10%,0.40%,1.40%,0.50%,5.80%,5.20%,1.70%,1.40%,14.90%,24.10%,62.10%,37.30%,42.30%,,(X)
    Service occupations,,,,,,,,,,,,,,,,
        Estimate,23.60%,7.30%,11.80%,10.50%,47.80%,70.50%,24.80%,33.20%,46.60%,16.00%,11.30%,15.40%,11.50%,20.90%,,(X)
    Sales and office occupations,,,,,,,,,,,,,,,,
        Estimate,8.10%,46.30%,64.10%,5.80%,5.50%,2.80%,9.10%,8.70%,1.50%,4.10%,0.70%,0.70%,24.00%,2.80%,,(X)
"    Natural resources, construction, and maintenance occupations",,,,,,,,,,,,,,,,
        Estimate,20.70%,4.80%,4.20%,63.00%,33.80%,13.00%,50.70%,12.40%,4.20%,12.40%,2.20%,4.20%,8.40%,0.60%,,(X)
"    Production, transportation, and material moving occupations",,,,,,,,,,,,,,,,
        Estimate,,,,,,,,,,,,,,,,
